------------------------------------------------------------------------------------
导出信息：
姓名：何罗浩天
支付宝账户：18781654427
起始时间：[2025-02-19 00:00:00]    终止时间：[2025-03-19 23:59:59]
导出交易类型：[全部]
导出时间：[2025-03-19 17:14:41]
共41笔记录
收入：0笔 0.00元
支出：40笔 288.54元
不计收支：1笔 154.41元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-03-17 21:36:50,生活服务,杭州企鹅科技有限公司,czy***@qiekj.com,企鹅共享,支出,0.15,花呗,交易成功,2025031723001431621411992112	,110420250317213649945326370727	,,
2025-03-17 11:16:49,日用百货,综合商店,/,综合商店_10021002503171116480694029612774_522165347022,支出,4.08,花呗&红包&花呗青春特惠,交易成功,2025031722001431621411156258	,131266000048151000202503171165501648651853	,,
2025-03-16 20:35:07,日用百货,多点生活,zfb***@dmall.com,多点订单：870445043900,支出,4.67,花呗&碰一下立减&花呗青春特惠,交易成功,2025031622001431621411225995	,19011117421285060000870445043900	,,
2025-03-16 20:33:33,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,11.49,花呗,交易成功,2025031623001431621410312566	,0003N202503160000000010060028433	,,
2025-03-16 19:14:36,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,30.41,花呗,交易成功,2025031623001431621409838340	,0003N202503160000000010082720987	,,
2025-03-15 20:14:57,生活服务,杭州企鹅科技有限公司,czy***@qiekj.com,企鹅共享,支出,4.50,花呗,交易成功,2025031522001431621404957897	,110120250315201456978592578476	,,
2025-03-13 23:57:03,其他,北京岳西科技有限公司,zho***@126.com,无人售货·18252,支出,2.50,花呗,交易成功,2025031323001431621457787265	,1900213954150739970	,,
2025-03-13 14:53:09,其他,北京岳西科技有限公司,zho***@126.com,无人售货·18252,支出,2.85,花呗&花呗青春特惠,交易成功,2025031323001431621453618990	,1900077508054994945	,,
2025-03-12 17:56:24,生活服务,杭州企鹅科技有限公司,czy***@qiekj.com,企鹅共享,支出,0.05,花呗,交易成功,2025031223001431621450521195	,110420250312175623787434960563	,,
2025-03-10 11:20:01,日用百货,综合商店,/,综合商店_10021002503101120000704029617043_519108880312,支出,3.54,花呗&碰一下立减&花呗青春特惠,交易成功,2025031023001431621437540058	,641266000048151000202503101141232001272779	,,
